"wa","mw","mwlu"
"bdr:WA19721","bdr:IE0GR0351","Sakyabuddhi: Pramanavarttikatika"
"bdr:WA1KG22379","bdr:MW1KG22379","གཞུང་ཆེན་བཀའ་པོད་ལྔའི་རྩ་བ།"
"bdr:WA1NLM2948","bdr:MW1NLM2948","རྒྱས་པའི་བསྟན་བཅོས་ཚད་མ་རྣམ་འགྲེལ་གྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA2KG221946","bdr:MW2KG221946","आचार्य धर्मकीर्ति विरचित न्याय-बिन्दु एवं धर्मोत्तर टीका"
"bdr:WA2KG221946","bdr:MW2KG221946","âcàrya dharmakãrti's nyàya bindu with dharmottara's commentary"
"bdr:WA2KG221946","bdr:MW2KG221946","སློབ་དཔོན་ཆོས་གྲགས་ཀྱི་ཚད་མ་རིགས་ཐིགས་དང་། དེའི་འགྲེལ་པ་སློབ་དཔོན་ཆོས་མཆོག་གིས་མཛད་པ།"
"bdr:WA2KG234627","bdr:MW2KG234627","ཚད་མ་རྣམ་འགྲེལ་དང་། མངོན་རྟོགས་རྒྱན། དབུ་མ་འཇུག་པ། མཛོད་རྩ་བ་བཅས།"
"bdr:WA3CN7880","bdr:MW3CN7880","ཚད་མ་རིགས་ཐིགས་དང་གཏན་ཚིག་རིགས་པ་སོགས་ཀྱི་རྩ་འགྲེལ།"
"bdr:WA2KG234638","bdr:MW2KG234638","ཚད་མ་རྣམ་འགྲེལ་གྱི་རང་འགྲེལ།"
"bdr:WA8LS77224","bdr:MW8LS77224","ཚད་མ་རྣམ་འགྲེལ་གྱི་རང་འགྲེལ་ལས་རང་དོན་རྗེས་དཔག་གི་སྐོར་རྩ་འགྲེལ་ཤན་སྦྱར།"
"bdr:WA8LS22449","bdr:MW8LS22449","ཚད་མ་རྣམ་འགྲེལ།"
"bdr:WA00KG03837","bdr:MW00KG03837","ཚད་མ་རྣམ་པར་ངེས་པ།"
"bdr:WA00KG03837","bdr:MW26447","ཚད་མ་རྣམ་པར་ངེས་པ།"
"bdr:WA00EGS1017698","bdr:IE0GR0282","Dharmakirti: Vadanyaya"
