"wa","mw","mwlu"
"bdr:WA1KG18130","bdr:MW1KG18130","བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA1KG18130","bdr:MW8LS76580","བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA1KG18130","bdr:MW3CN4786","བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA4CZ369265","bdr:MW4CZ369265","གངས་ཅན་རིག་བརྒྱའི་སྒོ་འབྱེད་ལྡེ་མིག ༼དེབ་ཉེར་གསུམ་པ།༽"
"bdr:WA4CZ302675","bdr:MW4CZ302675","ལམ་རིམ་ཆེན་མོ་སྤྱོད་པ་སྤྱི་བསླབ་དང་སྤྱོད་འཇུག་རྩ་བ།"
"bdr:WA1KG5465","bdr:MW1KG5465","སྤྱོད་འཇུག་དར་ཊིཀ་ཤན་སྦྱར།"
"bdr:WA1NLM2931","bdr:MW1NLM2931","བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་སོགས།"
"bdr:WA1NLM1758","bdr:MW1NLM1758","བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས་བསྔོ་བའི་ལེའུ་བཅུ་པ་སོགས།"
"bdr:WA0XLBF2CC98D620E","bdr:MW20423_BF2CC9","སྤྱོད་འཇུག་སྨོན་ལམ།"
"bdr:WA0XLBF2CC98D620E","bdr:MW0NGMCP45432","སྤྱོད་འཇུག་སྨོན་ལམ།"
"bdr:WA0XLA6332E472244","bdr:MW2PD19899_A6332E","བྱང་ཆུབ་སེམས་པའི་སྤྱོད་པ་ལ་འཇུག་པ།"
"bdr:WA1EE17","bdr:MW1EE17","བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།༼སོག་ཡིག༽"
"bdr:WA1EE17","bdr:MW1EE17","bodisung narun yabudal-dur oruqui neretu sastir"
"bdr:WA8LS76611","bdr:MW8LS76611","བྱང་ཆུས་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་རྩ་བ་དང་ཚིག་འགྲེལ་འཇམ་དབྱངས་བླ་མའི་ཞལ་ལུང་བདུད་རྩིའི་ཐིག་པ།"
"bdr:WA1NLM288","bdr:MW22351","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA1NLM288","bdr:MW1NLM288","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA1NLM288","bdr:MW0NGMCP40621","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA1NLM288","bdr:MW0NGMCP48016","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA1NLM288","bdr:MW0NGMCP62139","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA1NLM288","bdr:MW0NGMCP66676","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA1NLM288","bdr:MW0NGMCP67432","བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་རྒྱལ་སྲས་ཞི་བ་ལྷས་མཛད་པ།"
"bdr:WA21985","bdr:MW21985","བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་རྩ་བ་དང་འགྲེལ་པ།"
"bdr:WA0XLECFB5A54CFC4","bdr:MW3PD1288_ECFB5A","ལྷན་ཅིག་སྐྱེས་པའི་གླུ།"
"bdr:WA4CZ307378","bdr:MW4CZ307378","བསླབ་བཏུས། ༼མཆན་ཅན།༽"
