"wa","mw","mwlu"
"bdr:WA8LS66361","bdr:MW8LS66361","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ། བོད་རྒྱ་ཤན་སྦྱར།"
"bdr:WA4CZ57158","bdr:MW4CZ57158","དབུ་མ་རིགས་ཚོགས་དྲུག་དང་དེའི་འགྲེལ་པ་ཕྱོགས་བསྒྲིགས།"
"bdr:WA0FFY006","bdr:MW0FFY006","Buddhapālita-mūlamadhyamaka-vṛtti"
"bdr:WA1AC213","bdr:MW2KG234628","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA1AC213","bdr:MW1AC213","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པ་ལི་ཏ།"
"bdr:WA3CN524","bdr:MW3CN524","དབུ་མ་རྩ་ཤེས་ཀྱི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA3CN10768","bdr:MW3CN10768","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པ་ལི་ཏ།"
"bdr:WA0RT0049","bdr:MW2KG5015_0838","གཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0049","bdr:MW1PD95844_0052","བཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0049","bdr:MW23703_1160","བཤགས་པའི་བསྟོད་པའི་འགྲེལ་བ།"
"bdr:WA0RT0049","bdr:MW22704_0838","གཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0049","bdr:MW23702_0049","བཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0049","bdr:MW1KG13126_2049","གཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT3187","bdr:MW23703_3842","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA0RT3187","bdr:MW1KG13126_5242","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA0RT3187","bdr:MW2KG5015_4031","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA0RT3187","bdr:MW1PD95844_3068A","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA0RT3187","bdr:MW22704_4031","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
"bdr:WA0RT3187","bdr:MW23702_3245","དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།"
