"wa","mw","mwlu"
"bdr:WA4CZ369272","bdr:MW4CZ369272","འགྲེལ་པ་དོན་གསལ།"
"bdr:WA4CZ369272","bdr:MW1AC28","འགྲེལ་པ་དོན་གསལ།"
"bdr:WA4CZ369272","bdr:MW4CZ301881","འགྲེལ་པ་དོན་གསལ།"
"bdr:WA4CZ369272","conceptual","འགྲེལ་པ་དོན་གསལ།"
"bdr:WA8LS77704","bdr:MW8LS77704","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ་དོན་གསལ།"
"bdr:WA8LS22458","bdr:MW8LS22458","འགྲེལ་པ་དོན་གསལ།"
"bdr:WA8LS76506","bdr:MW8LS76506","སྡུད་པའི་དཀའ་འགྲེལ་རྟོགས་སླ།"
"bdr:WA1KG8888","bdr:MW1KG8888","མངོན་པར་རྟོགས་པའི་རྒྱན་ཅེས་བྱ་བའི་འགྲེལ་པ།"
"bdr:WA1NLM1372","bdr:MW1NLM1372","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་ཅེས་བྱ་བའི་འགྲེལ་པ་སོགས།"
"bdr:WA1KG3399","bdr:MW1KG3399","ཉི་ཁྲིའི་འགྲེལ་པ།"
"bdr:WA00KG0547","bdr:MW00KG0547","བྱམས་ཆོས་སྡེ་ལྔ་དང་མངོན་རྟོགས་རྒྱན་གྱི་འགྲེལ་བ།"
"bdr:WA4CZ302681","bdr:MW4CZ302681","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་འགྲེལ་པ་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་སྣང་བ།"
"bdr:WA1AC44","bdr:MW1AC44","བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་རྩ་བ་དང་། དེའི་འགྲེལ་བ་དོན་གསལ་དང་བཅས་པའི་རྣམ་བཤད་སྙིང་པོའི་རྒྱན།"
"bdr:WA1KG24643","bdr:MW1KG24643","སློབ་དཔོན་སེང་གེ་བཟང་པོས་མཛད་པའི་བརྒྱད་སྟོང་འགྲེལ་ཆེན།"
"bdr:WA1NLM792","bdr:MW1NLM792","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་ཅེས་བྱ་བའི་འགྲེལ་པ།"
"bdr:WA1KG3395","bdr:MW1KG3395","སློབ་དཔོན་སེངྒེ་བཟང་པོ་དང་ཆོས་ཀྱི་གྲགས་པའི་མངོན་རྟོགས་རྒྱན་གྱི་འགྲེལ་པ།"
"bdr:WA2KG234635","bdr:MW2KG234635","བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་དང་འགྲེལ་པ་དོན་གསལ།"
"bdr:WA3CN6654","bdr:MW3CN6654","བརྒྱད་སྟོང་འགྲེལ་ཆེན་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་སྣང་བ།"
"bdr:WA3CN22824","bdr:MW3CN22824","མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ་ཡུམ་དོན་རབ་གསལ།"
