"wa","mw","mwlu"
"bdr:WA1NLM654","bdr:MW1NLM654","ཆོས་མངོན་པ་མཛོད་སོགས།"
"bdr:WA1KG22379","bdr:MW1KG22379","གཞུང་ཆེན་བཀའ་པོད་ལྔའི་རྩ་བ།"
"bdr:WA2KG208134","bdr:MW2KG208134","ཆོས་མངོན་པ་མཛོད་ཀྱི་རྩ་བ་དང་རྣམ་བཤད་བློ་གསལ་བློའི་པདྨོ་ཁ་འབྱེད།"
"bdr:WA8LS22431","bdr:MW8LS22431","མངོན་རྟོགས་རྒྱན། དབུ་མ་འཇུག་པ། མཛོད། དབུ་མ་རྒྱན། བྱང་ཆུབ་ལམ་སྒྲོན་དང་སུམ་ཅུ་པའི་རྩ་བ།"
"bdr:WA4CZ369270","bdr:MW4CZ369270","མངོན་པ་མཛོད་ཀྱི་རང་འགྲེལ། ༼སྟོད་ཆ།༽ ༼སྨད་ཆ།༽"
"bdr:WA1KG8836","bdr:MW1KG8836","དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ་སོགས་རྒྱ་གཞུང་གི་བསྟན་བཅོས་ཁག་ཅིག"
"bdr:WA2KG208151","bdr:MW8LS66488","ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།"
"bdr:WA2KG208151","bdr:MW2KG208151","ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།"
"bdr:WA3CN5030","bdr:MW3CN5030","ཆོས་མངོན་པའི་མཛོད་ཀྱི་རྣམ་བཤད།"
"bdr:WA3CN20396","bdr:MW3CN20396","ཆོས་མངོན་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ་སོགས།"
"bdr:WA8LS66487","bdr:MW8LS66487","ཆོས་མངོན་པའི་མཛོད་ཀྱི་འགྲེལ་པ་མངོན་པའི་རྒྱན།"
"bdr:WA2KG234627","bdr:MW2KG234627","ཚད་མ་རྣམ་འགྲེལ་དང་། མངོན་རྟོགས་རྒྱན། དབུ་མ་འཇུག་པ། མཛོད་རྩ་བ་བཅས།"
"bdr:WA1NLM1140","bdr:MW1NLM1140","ཕུང་པོ་ལྔའི་རབ་འབྱེད་སོགས།"
"bdr:WA0XL68864575E9FB","bdr:MW3MS878_688645","ཉི་ཤུ་བའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA4CZ16813","bdr:IE0GR0392","Vasubandhu: Trimsikavijnaptikarika"
"bdr:WA4CZ294915","bdr:MW4CZ294915","མངོན་པ་མཛོད་ཀྱི་རང་འགྲེལ།"
"bdr:WA1CZ1014","bdr:MW1CZ1014","ཚིགས་སུ་བཅད་པ་སུམ་བཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA4CZ355869","bdr:MW4CZ355869","དབུ་མ་འཇུག་པ་དང་མཛོད་རྩ་བ།"
"bdr:WA3CN4973","bdr:MW3CN4973","ཆོས་མངོན་པ་མཛོད་ཀྱི་རྩ་བ།"
"bdr:WA3CN4973","bdr:MW1NLM1792","ཆོས་མངོན་པ་མཛོད་ཀྱི་རྩ་བ།"
"bdr:WA1AC207","bdr:MW1AC207","ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA1AC207","bdr:MW1NLM3004","ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA1AC207","bdr:MW1NLM128","ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA1AC207","bdr:MW1NLM2660","ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།"
