"wa","mw","mwlu"
"bdr:WA1KG4244","bdr:MW1KG4244","རྒྱ་གཞུང་སྐོར་གྱི་ཚད་མ་ཕྱོགས་བསྒྲིགས།"
"bdr:WA4CZ299881","bdr:MW4CZ299881","ཚད་མ་རིགས་པ་ལ་འཇུག་པའི་རྣམ་བཤད་དཀའ་གནས་གསལ་བའི་ཟླ་ཟེར།"
"bdr:WA1NLM1148","bdr:MW1NLM1148","གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་འབེབ་པ་སོགས།"
"bdr:WA1NLM2011","bdr:MW1NLM2011","ངན་སོང་སྦྱོང་རྒྱུད་སོགས།"
"bdr:WA8LS18014","bdr:MW8LS18014","རིག་གཞུང་ཉེར་མཁོ་ཕྱོགས་བསྡུས།"
"bdr:WA2PD17641","bdr:MW2PD17641","བཟང་སྤྱོད་འགྲེལ་བ་ཕྱོགས་བསྒྲིགས།"
"bdr:WA1GS9119","bdr:IE0GR0255","Alambanapariksa"
"bdr:WA1AB5","bdr:MW1AB5","ཚད་མ་མདོ་འགྲེལ་བ།"
"bdr:WA1KG16156","bdr:MW3CN5593","ཚད་མའི་སྐོར་གྱི་རྒྱ་གཞུང་རྩ་འགྲེལ།"
"bdr:WA1KG16156","bdr:MW1KG16156","ཚད་མའི་སྐོར་གྱི་རྒྱ་གཞུང་རྩ་འགྲེལ།"
"bdr:WA3CN22974","bdr:MW3CN22974","ཚད་མ་རིག་པའི་སྐོར་གྱི་རྒྱ་གཞུང་འགའ་ཞིག"
"bdr:WA0RT0041","bdr:MW23703_1150","སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0041","bdr:MW1PD95844_0042","སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0041","bdr:MW22704_0830","སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0041","bdr:MW23702_0041","སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0041","bdr:MW2KG5015_0830","སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0041","bdr:MW1KG13126_2041","སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0045","bdr:MW23703_1156","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW2KG5015_0834","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW23702_3477","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW22704_0834","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW23702_0045","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW1KG13126_5474","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW1PD95844_0048","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW1KG13126_2045","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW22704_4263","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0045","bdr:MW2KG5015_4263","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།"
"bdr:WA0RT0046","bdr:MW1KG13126_2046","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུ་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW1KG13126_5475","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW2KG5015_4264","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW23702_3478","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW2KG5015_0835","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུ་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW23703_1157","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW22704_0835","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུ་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW1PD95844_0049","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT0046","bdr:MW22704_4264","ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།"
