"wa","mw","mwlu"
"bdr:WA1KG4863","bdr:MW1KG4863","དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོལ་མ།"
"bdr:WA1KG8751","bdr:MW1KG8751","དབུ་མའི་སྙིང་པོའི་འགྲེལ་པ་རྟོག་གེ་འབར་བ།"
"bdr:WA8LS67571","bdr:MW8LS67571","དབུ་མ་སྙིང་པོའི་རང་འགྲེལ་རྟོག་གེ་འབར་བ་རྩ་འགྲེལ་སྦྱར་མ།"
"bdr:WA2KG234647","bdr:MW2KG234647","དབུ་མ་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ་དང་དེའི་རང་འགྲེལ་རྟོག་གེ་འབར་བ།"
"bdr:WA1KG25128","bdr:MW3CN6454","དབུ་མ་སྙིང་པོའི་འགྲེལ་པ་རྟོག་གེ་འབར་བ།"
"bdr:WA1KG25128","bdr:MW1KG25128","དབུ་མ་སྙིང་པོའི་འགྲེལ་པ་རྟོག་གེ་འབར་བ།"
"bdr:WA1AC221","bdr:MW1AC221","དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA1AC221","bdr:MW3CN3434","དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT0657","bdr:MW2KG5015_1452","སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0657","bdr:MW1PD95844_0694","སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0657","bdr:MW1KG13126_2657","སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0657","bdr:MW22704_1452","སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT0657","bdr:MW23703_1792","སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་བ་ཞེས་བྱ་བ།"
"bdr:WA0RT0657","bdr:MW23702_0660","སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།"
"bdr:WA0RT3198","bdr:MW2KG5015_4042","དབུ་མའི་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT3198","bdr:MW22704_4042","དབུ་མའི་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT3198","bdr:MW23702_3256","དབུ་མའི་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT3198","bdr:MW1PD95844_3080","དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT3198","bdr:MW1KG13126_5253","དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT3198","bdr:MW23703_3853","དབུ་མའི་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ།"
"bdr:WA0RT3200","bdr:MW23703_3855","དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT3200","bdr:MW1KG13126_5255","དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT3200","bdr:MW2KG5015_4044","དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT3200","bdr:MW22704_4044","དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།"
"bdr:WA0RT3200","bdr:MW1PD95844_3082","དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུ་བྱས་པ།"
"bdr:WA0RT3200","bdr:MW23702_3258","དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།"
