"wa","mw","mwlu"
"bdr:WA8LS35883","bdr:MW8LS35883","དབུ་མ་ལ་འཇུག་པའི་སེམས་བསྐྱེད་དྲུག་པ་དང་དེའི་བཤད་པ།"
"bdr:WA1KG22379","bdr:MW1KG22379","གཞུང་ཆེན་བཀའ་པོད་ལྔའི་རྩ་བ།"
"bdr:WA3CN3431","bdr:MW3CN3431","རིགས་པ་དྲུག་བཅུ་པའི་འགྲེལ་པ།"
"bdr:WA1NLM647","bdr:MW1NLM647","དཔལ་དུས་ཀྱི་འཁོར་ལོ་བསྡུས་པའི་རྒྱུད་ཀྱི་སྙིང་པོ་དང་དབུ་མ་ལ་འཇུག་པ།"
"bdr:WA1NLM2928","bdr:MW1NLM2928","རྒྱུད་ཐམས་ཅད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་རྩ་བའི་རྒྱུད།སྒྲོན་མ་རབ་ཏུ་གསལ་བར་བྱེད་པའི་རྒྱ་ཆེར་བཤད་པས་འཆད་པའི་ས་བཅད་བསྡུས་དོན་སོགས།"
"bdr:WA8LS17299","bdr:MW8LS17299","དབུ་མ་འཇུག་པ།"
"bdr:WA8LS17299","bdr:MW3MS878_1BBAC5","དབུ་མ་འཇུག་པ།"
"bdr:WA0XL2591D537511C","bdr:MW1NLM2737_2591D5","གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་བདུ་ཅུ་པ།"
"bdr:WA3JT13312","bdr:IE3JT13312","དབུ་མ་འཇུག་པའི་རྩ་བ་དང་དེའི་རྣམ་བཤད།"
"bdr:WA2KG234627","bdr:MW2KG234627","ཚད་མ་རྣམ་འགྲེལ་དང་། མངོན་རྟོགས་རྒྱན། དབུ་མ་འཇུག་པ། མཛོད་རྩ་བ་བཅས།"
"bdr:WA3JT13372","bdr:IE3JT13372","དབུ་མ་འཇུག་པའི་རང་འགྲེལ་དང་ས་བཅད་སྐལ་བཟང་སྒྲོན་མེ་མཉམ་དུ་སྦྱར་བ།"
"bdr:WA4CZ355869","bdr:MW4CZ355869","དབུ་མ་འཇུག་པ་དང་མཛོད་རྩ་བ།"
"bdr:WA8LS77749","bdr:MW8LS77749","དབུ་མ་ལ་འཇུག་པ་རྩ་བ་དང་འགྲེལ་བ།"
"bdr:WA3CN4278","bdr:MW3CN4278","དབུ་མ་རྒྱན་འཇུག་པ་བཞི་བརྒྱ་པའི་རྩ་བ།"
"bdr:WA1NLM3011","bdr:MW1NLM3011","དབུ་མ་ལ་འཇུག་པ་ཞེས་བྱ་བ་སོགས།"
"bdr:WA1NLM3011","bdr:MW1NLM2087","དབུ་མ་ལ་འཇུག་པ་ཞེས་བྱ་བ་སོགས།"
"bdr:WA2KG234632","bdr:MW1NLM906","དབུ་མ་རྩ་ཤེའི་འགྲེལ་པ་ཚིག་གསལ།"
"bdr:WA2KG234632","bdr:MW2KG234632","དབུ་མ་རྩ་ཤེའི་འགྲེལ་པ་ཚིག་གསལ།"
"bdr:WA1NLM2013","bdr:MW1NLM2013","དབུ་མ་ལ་འཇུག་པ་སོགས།"
"bdr:WA4CZ307988","bdr:MW4CZ307988","madhyamakavatara"
"bdr:WA4CZ307988","bdr:MW4CZ307988","དབུ་མ་ལ་འཇུག་པའི་བཤད་པ། ༼སེམས་བསྐྱེད་དང་པོ་ནས་ལྔ་པའི་བར།༽"
"bdr:WA1KG8769","bdr:MW1KG8769","དབུ་མ་འཇུག་པ་ལ་སོགས་པ་རྩ་བ་ཕྱོགས་བསྒྲིགས།"
